club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
12,as-rom,As Rom,IT1,386.33,31,25.1,20,64.5,18,Olimpico di Roma,73261,£-100.11m,José Mourinho,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
5,ac-mailand,Ac Mailand,IT1,429.03,29,26.9,19,65.5,17,Giuseppe Meazza,75923,£-63.09m,Stefano Pioli,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5
6195,ssc-neapel,Ssc Neapel,IT1,467.01,26,27.8,18,69.2,16,Stadio Diego Armando Maradona,54726,£-15.03m,Luciano Spalletti,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195
6574,us-sassuolo,Us Sassuolo,IT1,195.21,27,27.5,15,55.6,12,Mapei Stadium - Città del Tricolore,21584,£-5.40m,Alessio Dionisi,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574
46,inter-mailand,Inter Mailand,IT1,473.31,27,29.0,18,66.7,17,Giuseppe Meazza,75923,+£144.95m,Simone Inzaghi,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46
506,juventus-turin,Juventus Turin,IT1,542.61,25,27.6,14,56.0,18,Allianz Stadium,41507,+£2.79m,Massimiliano Allegri,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506
10484,kasimpasa,Kasimpasa,TR1,20.7,26,27.3,15,57.7,4,Recep Tayyip Erdoğan Stadyumu,13856,+-0,Özgür Öcal,https://www.transfermarkt.co.uk/kasimpasa/startseite/verein/10484
11688,giresunspor,Giresunspor,TR1,21.2,29,26.7,14,48.3,3,Çotanak Spor Kompleksi,21500,£-90Th.,Hakan Keles,https://www.transfermarkt.co.uk/giresunspor/startseite/verein/11688
7775,hatayspor,Hatayspor,TR1,24.39,26,27.2,13,50.0,9,Yeni Hatay Stadyumu,25000,+£3.33m,Ömer Erdogan,https://www.transfermarkt.co.uk/hatayspor/startseite/verein/7775
1390,cagliari-calcio,Cagliari Calcio,IT1,130.21,27,27.3,15,55.6,7,Unipol Domus,16416,£-5.67m,Walter Mazzarri,https://www.transfermarkt.co.uk/cagliari-calcio/startseite/verein/1390
3522,spezia-calcio,Spezia Calcio,IT1,67.16,30,23.8,22,73.3,9,Alberto Picco,10336,£-16.74m,Thiago Motta,https://www.transfermarkt.co.uk/spezia-calcio/startseite/verein/3522
2293,konyaspor,Konyaspor,TR1,25.22,27,27.9,13,48.1,10,Medaş Konya Büyükşehir Stadyumu,42000,£-1.42m,Ilhan Palut,https://www.transfermarkt.co.uk/konyaspor/startseite/verein/2293
416,fc-turin,Fc Turin,IT1,167.33,30,26.2,20,66.7,15,Stadio Grande Torino,27994,+£5.49m,Ivan Juric,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
19789,yeni-malatyaspor,Yeni Malatyaspor,TR1,25.72,30,25.2,13,43.3,5,Yeni Malatya Stadyumu,25745,£-2.25m,Marius Sumudica,https://www.transfermarkt.co.uk/yeni-malatyaspor/startseite/verein/19789
